2164,Milenkovic,Milenkovic Nikola,D,Dc,10,10,10,10,Fiorentina,26,26,destro,Serbia,12/10/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MILENKOVIC.png?v=35,0,5.5,5.33
4378,Ranieri L.,Ranieri Luca,D,Ds;Dc,5,5,5,6,Fiorentina,12,12,sinistro,Italia,23/04/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/RANIERI-L.png?v=35,0,5.25,5.0
5885,Dodo',Dodò,D,Dd;E,7,8,7,8,Fiorentina,22,22,destro,Brasile,17/11/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DODO.png?v=35,0,5.25,5.25
252,Biraghi,Biraghi Cristiano,D,Ds;E,11,10,11,10,Fiorentina,24,24,sinistro,Italia,12/09/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BIRAGHI.png?v=35,0,6.0,7.75
5449,Parisi,Parisi Fabiano,D,Ds;E,7,8,7,8,Fiorentina,20,20,sinistro,Italia,09/11/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PARISI.png?v=35,0,5.5,5.5
6235,Kayode,Kayode Michael,D,Dd;Ds;E,2,1,3,2,Fiorentina,8,8,destro,Italia;Nigeria,10/07/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,7.0,7.0
6236,Amatucci,Amatucci Lorenzo,C,M;C,2,1,2,1,Fiorentina,1,2,destro,Italia,05/02/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,5.5,5.5
4522,Amrabat,Amrabat Sofyan,C,M;C,6,7,7,8,Fiorentina,17,20,destro,Marocco;Olanda,21/08/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/AMRABAT.png?v=35,1,0.0,0.0
4285,Arthur Melo,Arthur Melo,C,M;C,8,7,9,8,Fiorentina,18,18,destro,Brasile,12/08/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ARTHUR.png?v=35,0,6.17,6.5
1933,Mandragora,Mandragora Rolando,C,M;C,10,9,10,10,Fiorentina,15,16,sinistro,Italia,29/06/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MANDRAGORA.png?v=35,0,5.83,6.83
557,Benassi,Benassi Marco,C,C,1,1,1,1,Fiorentina,1,1,destro,Italia,08/09/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BENASSI.png?v=35,1,0.0,0.0
